账号,昵称,短剧名,集数,累计观看,单集均观看,主页链接
masturzo.clemen,MD Drama,The Chef's Payback,22,369276,16785,https://www.tiktok.com/@masturzo.clemen
masturzo.clemen,MD Drama,The Wolfhound's Wall,23,117804,5122,https://www.tiktok.com/@masturzo.clemen
masturzo.clemen,MD Drama,The Secret Chef's Revenge,60,139933,2332,https://www.tiktok.com/@masturzo.clemen
aidramalabs_pulse0,Shape of Desire,She Stole My DNA,35,1135957,32456,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,"Five Brothers, One Vow",37,779795,21076,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Betrayed at My Bedside: Claimed by the Tyrant Alpha,56,11205933,200106,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,"Daddy, You Lost Your Little Princess",50,76476029,1529521,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Supreme Commander's Guard,30,339550,11318,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Moonlit Glasshouse,30,1353557,45119,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Error 404: Love Not Found — Until You,40,512976,12824,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Serpent King's Secret Heir,58,3704722,63875,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Dad Sold Me to My Mate,38,1019952,26841,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,No Mercy for My Brother,45,805940,17910,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Prince Who Bloomed in Winter,30,808746,26958,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,"Mocked by Everyone, I Made the Billionaire Heir Kneel",40,3016498,75412,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,He Traded My Love for Her Life,30,404839,13495,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,She Watched Through My Eyes,30,530289,17676,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Bound by Scent: The Don's Fake Bride,40,6999333,174983,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Don't Tell My Brother,36,8577215,238256,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Billionaire Queen's Return,30,881937,29398,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,I Ate A Meteorite For Her,25,332760,13310,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Ice Breaker,40,904410,22610,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Broke Peach Barbie,30,913336,30445,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Contract with the Lycan Emperor,30,1003139,33438,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,My Two Demon Suitors Won't Leave Me Alone,36,8296536,230459,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,My Two Campus Princes Won't Leave Me Alone,32,839667,26240,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Queen Who Bought His Empire,35,1070198,30577,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,He Turns Into A Cat At Midnight,30,814221,27141,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Billionaire's Captive Surgeon,36,824585,22905,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Filler Wife,50,5159660,103193,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,"Switched at Birth, Back for Revenge",32,824055,25752,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Runaway Oracle,36,808899,22469,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Crown Beneath the Maid Uniform,38,2490809,65548,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Bride of the Dead,33,850494,25773,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Love Lands at Dawn,40,349263,8732,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The King's Regret: Rise of the Thorns,40,772136,19303,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Diva’s Perfect Partner,30,399968,13332,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,THE LIGHT WE KEEP,40,1315106,32878,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,"Cursed Bond, Royal Omega",35,805946,23027,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Billionaire's Shield,30,791037,26368,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Stitched Back from Ashes,30,11296936,376565,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Mafia Heiress,31,1185385,38238,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Masked Duke's Pampered Wife,36,474752,13188,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Frost Blooms for Her,28,1396989,49892,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The One I Loved Was Never You,36,2051418,56984,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Exiled Alpha's Twin Secrets,26,2369387,91130,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,"Two Princes, One Crown, One Cinderella",34,872607,25665,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Ghost BFF’s Revenge: Outsmarting My Billionaire Ex,40,882062,22052,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,"After Loving Him for Six Years, I Married Someone Else",40,357534,8938,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Outcast and Her Hound: No Mercy,42,1001823,23853,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Hospital Report That Exposed My Son’s Fiancée,60,4968837,82814,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Man Who Kept Me,33,1827494,55379,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,"Betrayed by My Fiancé, Claimed by His CEO Uncle",31,21607919,697030,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,My Husband's Mistress's Son is Obsessed with Me,50,2889701,57794,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,"After He Cheated, I Took Everything",45,132014417,2933654,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Roommate Agreement,34,18403709,541286,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Pregnant By Brother-in-law,30,34804363,1160145,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,My Husband Lost His Memory and Fell for Me Again,30,865072,28836,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Seven Nights In His Villa,29,2940095,101383,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Exiled Prince and the Intruder,60,774112,12902,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Sea Witch Stole My Prince,30,422540,14085,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,A Golden Cage,30,13556274,451876,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Escape the Ex: 72-Hour Love Lockdown,32,3525188,110162,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Eles Não Sabiam Que Eu Era Bilionária,59,12403104,210222,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Maid’s Daughter Stole My Mansion,50,167402969,3348059,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Under Her Skin,51,831558,16305,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Tycoon's Captive Angel,37,76090544,2056501,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The False Luna Bride,50,1442824,28856,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Midnight Cure,29,30751469,1060395,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Ten Days To Betray Him,30,802356,26745,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Gacha Queen：My Ex-Husband's Ruin,25,788792,31552,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Sinner's Secret,30,845936,28198,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Revenge Of The Mother Of Roots,51,348724,6838,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Freeloading Human Exhibit,60,765945,12766,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Mom's Furry Fortune,32,9301689,290678,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Fatal Stolen Love,30,862832,28761,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Sweet Fall for the Alpha Boss,30,6409907,213664,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Golden Ball for Her,50,773514,15470,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Dead by Morning: My Husband's 7-Day Kill List,20,812698,40635,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Seducing My Ex's Celibate Uncle,50,5118808,102376,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,My Ex Returns With His Twin Brother,30,489824,16327,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,The Rogue Alpha's Loyal Dog,30,839124,27971,https://www.tiktok.com/@aidramalabs_pulse0
