Account / 账号,Nickname / 昵称,Screenshot Name / 截图名称,Rank in Account / 账号内排序,Drama ID / 短剧ID,English Title / 英文剧名,Chinese Title / 中文剧名,Publish Time / 发布时间,Episodes / 集数,Views / 观看数,Duration Seconds / 总时长(秒),Duration Minutes / 总时长(分钟),Limited Free / 是否限免,English Themes / 英文题材,Chinese Themes / 中文题材,English Description Preview / 英文简介预览,Chinese Description / 中文简介,Description Truncated / 简介是否截断,Drama Link / 短剧链接,Source Profile URL / 来源主页
masturzo.clemen,MD Drama,MD Drama,1,ID 7653131810934887444,The Secret Chef's Revenge,秘密厨师的复仇,2026-06-25 11:59:33,60,207622,7378,123.0,是 / Yes,City、Superior and Inferior、Skill/Talent Competition,城市、强弱逆袭、技能/才艺竞赛,"Cole Mason is fired by Jade Shaw. Replaced by the imposter Benny. Benny uses Cole Mason's sauces and falsely accuses him. He is invited to join The Zephyr Pavilion by Claire Frost, who offers him shares. Jade Shaw tries to blacklist Cole Mason, unaware that he is culinary god, Andy. A cooking competition, Jade Shaw realizes her mistake. The Celestial Palate is on the verge of bankruptcy after Benny is exposed. Cole Mason leads The Zephyr Pavilion to a comeback.",,否 / No,,https://www.tiktok.com/@masturzo.clemen
masturzo.clemen,MD Drama,MD Drama,2,ID 7653126676993463313,The Chef's Payback,厨师的回报,2026-06-21 00:01:34,22,374406,1713,28.6,是 / Yes,Farming/Business、Skill/Talent Competition,种田/经商、技能/才艺竞赛,"Leo Lowe's Luzhu Stew shop is booming. His greedy landlady, Grace Shaw, gets jealous and raises the rent, demanding his Secret Recipe. Leo Lowe empties the shop overnight. He starts over, and his business thrives. Grace Shaw opens a copycat shop, but it gets shut down due to bad taste and poor hygiene. She sells her property and leaves town. Leo Lowe's shop becomes famous throughout the county. Good and evil receive their due, and true craftsmanship endures.",,否 / No,,https://www.tiktok.com/@masturzo.clemen
masturzo.clemen,MD Drama,MD Drama,3,ID 7656358275239810069,The Chairman's Revenge,主席的复仇,2026-07-04 06:01:12,27,106188,1550,25.8,是 / Yes,Revenge、City,复仇、城市,"Twenty years ago, teacher Declan Lee helped poor Forrest Shaw with 29 yuan tuition and more. Twenty years later, Forrest Shaw is chairman of a group. His teacher was framed for 'misconduct,' forced to resign, and now sells watermelons. Forrest Shaw encounters his teacher being bullied and repays his kindness by clearing his name and helping his prodigal son. The framer is exposed, and Forrest offers a long-overdue 'thank you'.",,否 / No,,https://www.tiktok.com/@masturzo.clemen
masturzo.clemen,MD Drama,MD Drama,4,ID 7657765348854240257,The Billionaire's Payback,亿万富翁的回报,2026-07-02 16:18:08,21,382456,1200,20.0,是 / Yes,Mistaken Identities、Sudden Wealth、City,错误的身份、暴富、城市,"Finn Ford, a live-in son-in-law, has his life turned upside down when his father finds a winning lottery ticket worth a hundred million. His cheating wife mistakes the news, thinking her mother won, and forces him into a divorce, making him leave with nothing. When the truth is revealed, his ex-wife's family is buried in debt. The 'poor' ex-husband they kicked out has become a billionaire. Greed and betrayal ultimately lead to revenge.",,否 / No,,https://www.tiktok.com/@masturzo.clemen
masturzo.clemen,MD Drama,MD Drama,5,ID 7657657100822647828,The Wellness Tycoon's Revenge,健康大亨的复仇,2026-07-02 14:14:07,22,39294,1777,29.6,是 / Yes,Revenge、City、Redemption,复仇、城市、赎回,"After TCM therapist Finn Sullivan was humiliated and kicked out by his own uncle, David Sullivan, with just 2,500 yuan, he starts a business from scratch with his miraculous skill of ""diagnosing diseases by smell."" This is a story of revenge and comeback, where he gets back at his black-hearted betrayers, ultimately becomes the leader of the wellness industry, and finds happiness.",,否 / No,,https://www.tiktok.com/@masturzo.clemen
masturzo.clemen,MD Drama,MD Drama,6,ID 7656353060088714261,The Bank Stole My Life Savings,银行偷走了我一生的积蓄,2026-07-02 09:30:39,21,96930,1516,25.3,是 / Yes,Courtroom Drama、City,法庭剧、城市,"Construction worker Ethan Cole saved up 300,000 in life-saving money over seven years, which was mistakenly withdrawn due to a bank teller's error and an account mix-up due to a system glitch. The bank shirks responsibility, claiming they are 'Not responsible after leaving the counter,' so with the help of a lawyer, Ethan Cole stands up to the party at fault in a true story of fighting for justice and defending his rights through legal means.",,否 / No,,https://www.tiktok.com/@masturzo.clemen
masturzo.clemen,MD Drama,MD Drama,7,ID 7653131817838892053,The Wolfhound's Wall,猎狼犬之墙,2026-06-25 13:52:06,23,141702,1873,31.2,是 / Yes,Ensemble Cast、Family Disputes、Rural Area,群像、家庭纠纷、乡村,"Quinn establishes a wolf defense line with dogs. Cousin Shane Rhodes and mother Helen Rhodes incite villagers to demolish kennels. Quinn makes villagers sign a waiver, then dismantles defense. That night, a wolf pack devastates the village. Quinn leads his dogs against the wolves; Scrappy sacrifices itself. Villagers, confronted by waiver, turn on Shane Rhodes and his mother. Quinn rebuilds. Shane Rhodes attempts to poison dogs, is brought to justice. The village is reborn.",,否 / No,,https://www.tiktok.com/@masturzo.clemen
aidramalabs_pulse0,Shape of Desire,Shape of Desire,1,ID 7656911019842737159,Reborn as the Mafia Heir’s Bride,重生为黑手党继承人的新娘,2026-06-30 04:18:57,60,7972034,7218,120.3,是 / Yes,Romantic Complications、Reconciliation、Family Feud,浪漫并发症、和解、家庭恩怨,Reborn as the Mafia Heir’s Bride,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,2,ID 7657992969923974152,Satan Sent Me a Hell Puppy,撒旦送给我一只地狱小狗,2026-07-03 02:06:52,36,9346062,2101,35.0,是 / Yes,Fantasy、Contract Lovers,奇幻、合约爱好者,Satan Sent Me a Hell Puppy,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,3,ID 7661146562446758933,I Married the Wrong Billionaire,我嫁错了亿万富翁,2026-07-11 14:11:01,59,1221990,4908,81.8,是 / Yes,Family Feud、Love After Marriage、Romantic Complications,家庭恩怨、婚后的爱情、浪漫并发症,I Married the Wrong Billionaire,,否 / No,,https://www.tiktok.com/@aidramalabs_pulse0
