截图名称,账号,昵称,粉丝,点赞,短剧数,总集数,累计观看,单剧均观看,最高观看短剧,最高观看短剧中文名,最高观看,主页链接
masturzo.clemen,masturzo.clemen,masturzo.clemen,0,0,7,196,1294998,185000,The Billionaire's Payback,亿万富翁的回报,373924,https://www.tiktok.com/@masturzo.clemen
aidramalabs_pulse0,aidramalabs_pulse0,aidramalabs_pulse0,0,0,247,8274,3351069509,13567083,The Maid’s Daughter Stole My Mansion,女仆的女儿偷了我的豪宅,189037244,https://www.tiktok.com/@aidramalabs_pulse0
shortdramatime,shortdramatime,shortdramatime,0,0,116,7408,1461126037,12595914,Before We Knew,在我们知道之前。,174559514,https://www.tiktok.com/@shortdramatime
fz8fjg1,fz8fjg1,fz8fjg1,0,0,28,938,16513611,589772,The Half Zombie Girl,半僵尸少女,4619803,https://www.tiktok.com/@fz8fjg1
Premium Episode.Drama.J,sangaaxdiln,Premium Episode.Drama.J,96640,555060,134,4517,58424398,436003,The Producer's Revenge,制片人的复仇,3346853,https://www.tiktok.com/@sangaaxdiln
drama.pro28,drama.pro28,drama.pro28,0,0,6,100,3675081,612514,The Human Husbandry Protocol: Taming My Tentacle Duke,人类畜牧协议：驯服我的触手公爵,1083273,https://www.tiktok.com/@drama.pro28
duniadrama43,duniadrama43,duniadrama43,0,0,33,1446,15170031,459698,Love Bites,爱咬,2100899,https://www.tiktok.com/@duniadrama43
LoveBite Shorts,lovebiteshorts,LoveBite Shorts,7402,163578,57,2597,17371209,304758,The Elite Marriage,精英婚姻,2910280,https://www.tiktok.com/@lovebiteshorts
dramavault40,dramavault40,dramavault40,0,0,34,1481,16808717,494374,Reclaim My Life,夺回我的生活,4354914,https://www.tiktok.com/@dramavault40
MoboReels one,moboreels_one,MoboReels one,2213793,28083554,26,1407,71271829,2741224,《The Billionaire Escort's Secret》 !1080P,《亿万陪护的秘密》全集！1080P！,37081803,https://www.tiktok.com/@moboreels_one
GoodShort,goodshort_video,GoodShort,1873280,6562302,4,259,8485935,2121484,"Mistaken Encounter, Unexpected Love",误会，意外的爱情,4084442,https://www.tiktok.com/@goodshort_video
Melon_Minidrama,melon_minidrama,Melon_Minidrama,1342549,35866457,121,7138,1575367304,13019564,Saudari balas dendam,绍达里·巴拉斯·登丹姆,85168956,https://www.tiktok.com/@melon_minidrama
