截图名称,账号,昵称,粉丝,点赞,短剧数,总集数,累计观看,单剧均观看,最高观看短剧,最高观看短剧中文名,最高观看,主页链接
MD Drama,masturzo.clemen,MD Drama,89,494,7,196,1344376,192054,The Billionaire's Payback,亿万富翁的回报,380524,https://www.tiktok.com/@masturzo.clemen
aidramalabs_pulse0,aidramalabs_pulse0,aidramalabs_pulse0,0,0,254,8578,3575123898,14075291,The Maid’s Daughter Stole My Mansion,女仆的女儿偷了我的豪宅,195594102,https://www.tiktok.com/@aidramalabs_pulse0
ShortDramaTime,shortdramatime,ShortDramaTime,1957764,47641961,127,8132,1622997259,12779506,Before We Knew,在我们知道之前。,193046117,https://www.tiktok.com/@shortdramatime
The Long Silence_Trending_B,fz8fjg1,The Long Silence_Trending_B,47625,198879,29,968,16623625,573228,The Half Zombie Girl,半僵尸少女,4621319,https://www.tiktok.com/@fz8fjg1
Premium Episode.Drama.J,sangaaxdiln,Premium Episode.Drama.J,98072,575558,153,5195,64337305,420505,The Producer's Revenge,制片人的复仇,3385107,https://www.tiktok.com/@sangaaxdiln
The Lore Master,drama.pro28,The Lore Master,3087218,48835413,76,2127,1146990786,15091984,The Princess’ Secret Guard,公主的秘密卫士,289563425,https://www.tiktok.com/@drama.pro28
DuniaDrama,duniadrama43,DuniaDrama,2045,53136,34,1481,15255542,448692,Love Bites,爱咬,2119360,https://www.tiktok.com/@duniadrama43
LoveBite Shorts,lovebiteshorts,LoveBite Shorts,7479,165466,57,2598,18004945,315876,The Elite Marriage,精英婚姻,2913253,https://www.tiktok.com/@lovebiteshorts
物語の空,dramavault40,物語の空,1181,25197,34,1481,16843473,495396,Reclaim My Life,夺回我的生活,4382348,https://www.tiktok.com/@dramavault40
moboreels_one,moboreels_one,moboreels_one,0,0,26,1407,71295122,2742120,《The Billionaire Escort's Secret》 !1080P,《亿万陪护的秘密》全集！1080P！,37086006,https://www.tiktok.com/@moboreels_one
GoodShort,goodshort_video,GoodShort,1875271,6578812,4,259,8499675,2124919,"Mistaken Encounter, Unexpected Love",误会，意外的爱情,4090637,https://www.tiktok.com/@goodshort_video
Melon_Minidrama,melon_minidrama,Melon_Minidrama,1361296,36500974,123,7271,1585643286,12891409,Saudari balas dendam,绍达里·巴拉斯·登丹姆,85508448,https://www.tiktok.com/@melon_minidrama
