截图名称,账号,昵称,粉丝,点赞,短剧数,总集数,累计观看,单剧均观看,最高观看短剧,最高观看短剧中文名,最高观看,主页链接
MD Drama,masturzo.clemen,MD Drama,65,386,7,196,1258202,179743,The Chef's Payback,厨师的回报,372900,https://www.tiktok.com/@masturzo.clemen
Shape of Desire,aidramalabs_pulse0,Shape of Desire,5019686,83041378,247,8298,3180164807,12875161,The Maid’s Daughter Stole My Mansion,女仆的女儿偷了我的豪宅,184197248,https://www.tiktok.com/@aidramalabs_pulse0
shortdramatime,shortdramatime,shortdramatime,0,0,103,6456,1361000214,13213594,Before We Knew,在我们知道之前。,163080419,https://www.tiktok.com/@shortdramatime
The Long Silence_Trending_B,fz8fjg1,The Long Silence_Trending_B,46241,192125,28,938,16263166,580827,The Half Zombie Girl,半僵尸少女,4618855,https://www.tiktok.com/@fz8fjg1
Premium Episode.Drama.J,sangaaxdiln,Premium Episode.Drama.J,95749,543065,133,4487,56295732,423276,The Producer's Revenge,制片人的复仇,3337566,https://www.tiktok.com/@sangaaxdiln
drama.pro28,drama.pro28,drama.pro28,0,0,76,2150,1617105983,21277710,Revenge of the Pregnant Seahorse,怀孕海马的复仇,497957099,https://www.tiktok.com/@drama.pro28
DuniaDrama,duniadrama43,DuniaDrama,1882,50786,33,1445,15122235,458250,Love Bites,爱咬,2077767,https://www.tiktok.com/@duniadrama43
lovebiteshorts,lovebiteshorts,lovebiteshorts,0,0,53,2373,16931968,319471,The Elite Marriage,精英婚姻,2908913,https://www.tiktok.com/@lovebiteshorts
物語の空,dramavault40,物語の空,1154,24763,34,1480,16769730,493227,Reclaim My Life,夺回我的生活,4349064,https://www.tiktok.com/@dramavault40
MoboReels one,moboreels_one,MoboReels one,2210009,28020200,26,1407,71174554,2737483,《The Billionaire Escort's Secret》 !1080P,《亿万陪护的秘密》全集！1080P！,37078597,https://www.tiktok.com/@moboreels_one
GoodShort,goodshort_video,GoodShort,1872230,6558806,4,259,8482088,2120522,"Mistaken Encounter, Unexpected Love",误会，意外的爱情,4083169,https://www.tiktok.com/@goodshort_video
