截图名称,账号,昵称,粉丝,点赞,短剧数,总集数,累计观看,单剧均观看,最高观看短剧,最高观看短剧中文名,最高观看,主页链接
MD Drama,masturzo.clemen,MD Drama,88,493,7,196,1347151,192450,The Billionaire's Payback,亿万富翁的回报,381314,https://www.tiktok.com/@masturzo.clemen
Shape of Desire,aidramalabs_pulse0,Shape of Desire,5484718,94521786,255,8633,3647334010,14303271,The Maid’s Daughter Stole My Mansion,女仆的女儿偷了我的豪宅,196792933,https://www.tiktok.com/@aidramalabs_pulse0
ShortDramaTime,shortdramatime,ShortDramaTime,1990554,48570313,134,8630,1659408831,12383648,Before We Knew,在我们知道之前。,198041579,https://www.tiktok.com/@shortdramatime
The Long Silence_Trending_B,fz8fjg1,The Long Silence_Trending_B,47761,199542,29,968,16645859,573995,The Half Zombie Girl,半僵尸少女,4621455,https://www.tiktok.com/@fz8fjg1
Premium Episode.Drama.J,sangaaxdiln,Premium Episode.Drama.J,98401,579904,153,5194,65126620,425664,The Producer's Revenge,制片人的复仇,3394848,https://www.tiktok.com/@sangaaxdiln
The Lore Master,drama.pro28,The Lore Master,3096026,48953752,76,2124,1151065242,15145595,The Princess’ Secret Guard,公主的秘密卫士,289577064,https://www.tiktok.com/@drama.pro28
DuniaDrama,duniadrama43,DuniaDrama,2063,53637,34,1481,15508007,456118,Love Bites,爱咬,2123179,https://www.tiktok.com/@duniadrama43
LoveBite Shorts,lovebiteshorts,LoveBite Shorts,7494,165895,57,2657,18075975,317122,The Elite Marriage,精英婚姻,2913971,https://www.tiktok.com/@lovebiteshorts
物語の空,dramavault40,物語の空,1189,25273,34,1481,16850097,495591,Reclaim My Life,夺回我的生活,4387314,https://www.tiktok.com/@dramavault40
MoboReels one,moboreels_one,MoboReels one,2236568,28430314,26,1407,71220972,2739268,《The Billionaire Escort's Secret》 !1080P,《亿万陪护的秘密》全集！1080P！,37087291,https://www.tiktok.com/@moboreels_one
GoodShort,goodshort_video,GoodShort,1875704,6581449,4,259,8501995,2125499,"Mistaken Encounter, Unexpected Love",误会，意外的爱情,4091454,https://www.tiktok.com/@goodshort_video
Melon_Minidrama,melon_minidrama,Melon_Minidrama,1364705,36622970,124,7322,1607826699,12966344,Saudari balas dendam,绍达里·巴拉斯·登丹姆,85546279,https://www.tiktok.com/@melon_minidrama
