截图名称,账号,昵称,粉丝,点赞,短剧数,总集数,累计观看,单剧均观看,最高观看短剧,最高观看短剧中文名,最高观看,主页链接
MD Drama,masturzo.clemen,MD Drama,88,488,7,196,1303016,186145,The Billionaire's Payback,亿万富翁的回报,379726,https://www.tiktok.com/@masturzo.clemen
Shape of Desire,aidramalabs_pulse0,Shape of Desire,5337809,90643257,247,8262,3414383705,13823416,The Maid’s Daughter Stole My Mansion,女仆的女儿偷了我的豪宅,192533544,https://www.tiktok.com/@aidramalabs_pulse0
shortdramatime,shortdramatime,shortdramatime,0,0,124,7927,1545469787,12463466,Before We Knew,在我们知道之前。,183969200,https://www.tiktok.com/@shortdramatime
The Long Silence_Trending_B,fz8fjg1,The Long Silence_Trending_B,47285,197271,29,968,16739679,577230,The Half Zombie Girl,半僵尸少女,4620646,https://www.tiktok.com/@fz8fjg1
Premium Episode.Drama.J,sangaaxdiln,Premium Episode.Drama.J,97382,565559,153,5195,62896824,411090,The Producer's Revenge,制片人的复仇,3360041,https://www.tiktok.com/@sangaaxdiln
drama.pro28,drama.pro28,drama.pro28,0,0,75,2097,1137557426,15167432,The Princess’ Secret Guard,公主的秘密卫士,289541593,https://www.tiktok.com/@drama.pro28
duniadrama43,duniadrama43,duniadrama43,0,0,33,1446,15120082,458184,Love Bites,爱咬,2111789,https://www.tiktok.com/@duniadrama43
lovebiteshorts,lovebiteshorts,lovebiteshorts,0,0,57,2597,17923519,314448,The Elite Marriage,精英婚姻,2911815,https://www.tiktok.com/@lovebiteshorts
物語の空,dramavault40,物語の空,1161,25033,34,1481,16830669,495020,Reclaim My Life,夺回我的生活,4368058,https://www.tiktok.com/@dramavault40
MoboReels one,moboreels_one,MoboReels one,2220551,28185746,26,1407,71204777,2738645,《The Billionaire Escort's Secret》 !1080P,《亿万陪护的秘密》全集！1080P！,37083699,https://www.tiktok.com/@moboreels_one
GoodShort,goodshort_video,GoodShort,1874168,6569572,4,259,8492645,2123161,"Mistaken Encounter, Unexpected Love",误会，意外的爱情,4087793,https://www.tiktok.com/@goodshort_video
Melon_Minidrama,melon_minidrama,Melon_Minidrama,1353476,36225104,123,7274,1589883631,12925883,Saudari balas dendam,绍达里·巴拉斯·登丹姆,85396389,https://www.tiktok.com/@melon_minidrama
